instance_seed,category,N,M,D,K,assign_alpha,epsilon,loads,u,total_energy,makespan,solve_s,method,beam,prune_factor
8425936.0,medium,42.0,5.0,8.0,160.0,1.2,157.0,13;71;141;11;54,3;2;1;3;2,770.0,157.0,0.8524245079606771,guided,50.0,2.0
8425936.0,medium,42.0,5.0,8.0,160.0,1.2,156.0,13;71;141;11;54,3;2;1;3;2,772.0,156.0,0.8403968650382012,guided,50.0,2.0
8425936.0,medium,42.0,5.0,8.0,160.0,1.2,155.0,13;71;141;11;54,3;2;1;3;2,772.0,155.0,0.7627627695910633,guided,50.0,2.0
8425936.0,medium,42.0,5.0,8.0,160.0,1.2,154.0,13;71;141;11;54,3;2;1;3;2,780.0,154.0,0.7540431618690491,guided,50.0,2.0
8425936.0,medium,42.0,5.0,8.0,160.0,1.2,153.0,13;71;141;11;54,3;2;1;3;2,780.0,153.0,0.6924236458726227,guided,50.0,2.0
8425936.0,medium,42.0,5.0,8.0,160.0,1.2,152.0,13;71;141;11;54,3;2;1;3;2,780.0,152.0,0.6835393963847309,guided,50.0,2.0
8425936.0,medium,42.0,5.0,8.0,160.0,1.2,151.0,13;71;141;11;54,3;2;1;3;2,782.0,151.0,0.7302939221262932,guided,50.0,2.0
8425936.0,medium,42.0,5.0,8.0,160.0,1.2,150.0,13;71;141;11;54,3;2;1;3;2,782.0,150.0,0.7430105968378484,guided,50.0,2.0
8425936.0,medium,42.0,5.0,8.0,160.0,1.2,149.0,13;71;141;11;54,3;2;1;3;2,780.0,149.0,0.6895978718530387,guided,50.0,2.0
8425936.0,medium,42.0,5.0,8.0,160.0,1.2,148.0,13;71;141;11;54,3;2;1;3;2,780.0,148.0,0.6790648598689586,guided,50.0,2.0
8425936.0,medium,42.0,5.0,8.0,160.0,1.2,147.0,13;71;141;11;54,3;2;1;3;2,782.0,147.0,0.6785483278799802,guided,50.0,2.0
8425936.0,medium,42.0,5.0,8.0,160.0,1.2,146.0,13;71;141;11;54,3;2;1;3;2,784.0,146.0,0.6767945110332221,guided,50.0,2.0
8425936.0,medium,42.0,5.0,8.0,160.0,1.2,145.0,13;71;141;11;54,3;2;1;3;2,786.0,145.0,0.6587919651065022,guided,50.0,2.0
8425936.0,medium,42.0,5.0,8.0,160.0,1.2,144.0,13;71;141;11;54,3;2;1;3;2,788.0,144.0,0.6676700979005545,guided,50.0,2.0
